Función,Nombre,Tipo,Marca,Modelo,SN,Enlace,MAC,IP,Ticketera,Columna1
TEYO BARRA,OKUIBZPOS01,POS,Oracle,Workstation 820 low profile,3286EAR05001297,Ir a N.S.,00:a0:a4:32:18:8d,10.20.100.100,OKUIBZCHK001,OK
TEYO SALA,OKUIBZPOS02,POS,Oracle,Workstation 820 low profile,3286EAR05001287,Ir a N.S.,00:a0:a4:32:16:72,10.20.100.101,OKUIBZCHK002,
TEYO EXT,OKUIBZPOS03,POS,Oracle,Workstation 820 low profile,3286EAR05001347,Ir a N.S.,00:a0:a4:32:17:0d,10.20.100.102,OKUIBZCHK003,
POOL BAR,OKUIBZPOS04,POS,Oracle,Workstation 820 low profile,3286EAR05001299,Ir a N.S.,00:a0:a4:32:18:eb,10.20.100.103,OKUIBZCHK004,
POOL SRV,OKUIBZPOS05,POS,Oracle,Workstation 820 low profile,3286EAR05001282,Ir a N.S.,00:a0:a4:32:17:0c,10.20.100.104,OKUIBZCHK005,
TOKIMA BEBIDAS,OKUIBZPOS06,POS,Oracle,Workstation 820 low profile,3286EAR05001281,Ir a N.S.,00:a0:a4:32:16:a8,10.20.100.105,OKUIBZCHK006,
TOKIMA ROOMSRV,OKUIBZPOS07,POS,Oracle,Workstation 820 low profile,3286EAR05001306,Ir a N.S.,00:a0:a4:32:18:ed,10.20.100.106,OKUIBZCHK007,
SPA,OKUIBZPOS08,POS,Oracle,Workstation 820 low profile,3286EAR05001314,Ir a N.S.,00:a0:a4:32:16:b4,10.20.100.107,OKUIBZCHK008,
RETAIL,OKUIBZPOS09,POS,Oracle,Workstation 820 low profile,3286EAR05001295,Ir a N.S.,00:a0:a4:32:18:bf,10.20.100.108,OKUIBZCHK009,
OKU POOL 1,OKUIBZTAB001,PDA,Oracle,DT317CR,17CW12432K747,Ir a N.S.,8c:b8:7e:05:7d:50,10.20.100.109,,
OKU POOL 2,OKUIBZTAB002,PDA,Oracle,DT317CR,17CW12432K744,Ir a N.S.,8c:b8:7e:05:7d:64,10.20.100.110,,
,OKUIBZTAB003,PDA,Oracle,DT317CR,17CW12432K703,Ir a N.S.,8c:b8:7e:04:d8:46,10.20.100.111,,
,OKUIBZTAB004,PDA,Oracle,DT317CR,17CW12432K601,Ir a N.S.,f4:a4:75:83:b1:0c,10.20.100.112,,
,OKUIBZTAB005,PDA,Oracle,DT317CR,17CW12432K841,Ir a N.S.,8c:b8:7e:04:ca:cc,10.20.100.113,,
,OKUIBZTAB006,PDA,Oracle,DT317CR,17CW12432K771,Ir a N.S.,8c:b8:7e:05:7d:8c,10.20.100.114,,
,OKUIBZTAB007,PDA,Oracle,DT317CR,17CW12432K838,Ir a N.S.,8c:b8:7e:04:ca:9f,10.20.100.115,,
,OKUIBZTAB008,PDA,Oracle,DT317CR,17CW12432K840,Ir a N.S.,8c:b8:7e:04:ca:b8,10.20.100.116,,
,OKUIBZTAB009,PDA,Oracle,DT317CR,17CW12432K641,Ir a N.S.,f4:a4:75:83:b0:fd,10.20.100.117,,
,OKUIBZTAB010,PDA,Oracle,DT317CR,17CW12432K746,Ir a N.S.,8c:b8:7e:05:7d:32,10.20.100.118,,
,OKUIBZTAB011,PDA,Oracle,DT317CR,17CW12432K813,Ir a N.S.,8c:b8:7e:05:5a:1e,10.20.100.119,,
,OKUIBZTAB012,PDA,Oracle,DT317CR,17CW12432K829,Ir a N.S.,8c:b8:7e:04:ca:09,10.20.100.120,,
,OKUIBZTAB013,PDA,Oracle,DT317CR,17CW12432K556,Ir a N.S.,f4:a4:75:be:a7:28,10.20.100.121,,
,OKUIBZTAB014,PDA,Oracle,DT317CR,17CW12432K658,Ir a N.S.,8c:b8:7e:05:79:ea,10.20.100.122,,
,OKUIBZTAB015,PDA,Oracle,DT317CR,17CW12432K648,Ir a N.S.,8c:b8:7e:04:d7:ec,10.20.100.123,,
,OKUIBZTAB016,PDA,Oracle,DT317CR,17CW12432K706,Ir a N.S.,8c:b8:7e:04:d8:2d,10.20.100.124,,
,OKUIBZTAB017,PDA,Oracle,DT317CR,17CW12432K702,Ir a N.S.,8c:b8:7e:04:d7:fb,10.20.100.125,,
TEYO PASE,OKUIBZKOT001,Comandera,BIXOLON,SRP275IIIC,ORA0HKA22110180,,00:15:94:CE:b0:91,10.20.100.126,,OK
TEYO COLD/SUSHI,OKUIBZKOT002,Comandera,BIXOLON,SRP275IIIC,ORA0HKA22110192,,00:15:94:CE:86:a6,10.20.100.127,,OK
TEYO HOT/PASTRY,OKUIBZKOT003,Comandera,BIXOLON,SRP275IIIC,ORA0HKA22110178,,00:15:94:CE:b0:a1,4r,,OK
POOLBAR 1,OKUIBZKOT004,Comandera,BIXOLON,SRP275IIIC,ORA0HKA22110179,,00:15:94:CE:b0:7e,10.20.100.129,,
POOLBAR 2,OKUIBZKOT005,Comandera,BIXOLON,SRP275IIIC,ORA0HKA22110177,,00:15:94:CE:af:53,10.20.100.130,,
JUICE BAR,OKUIBZKOT006,Comandera,BIXOLON,SRP275IIIC,ORA0HKA22110187,,00:15:94:CE:b0:a7,10.20.100.131,,
TOKIMA PASE/RSRV/POOL,OKUIBZKOT007,Comandera,BIXOLON,SRP275IIIC,ORA0HKA22110186,,00:15:94:CE:b0:3a,10.20.100.132,,OK
TOKIMA SALADS,OKUIBZKOT008,Comandera,BIXOLON,SRP275IIIC,ORA0HKA22110188,,00:15:94:CE:af:61,10.20.100.133,,OK
TOKIMA BEBEIDAS,OKUIBZKOT009,Comandera,BIXOLON,SRP275IIIC,ORA0HKA22110189,,00:15:94:CE:b0:8d,10.20.100.134,,OK
TOKIMA PASTRY,OKUIBZKOT010,Comandera,BIXOLON,SRP275IIIC,ORA0HKA22110190,,00:15:94:CE:b0:85,10.20.100.135,,
TEYO BARRA EXT,OKUIBZKOT011,Comandera,BIXOLON,SRP275IIIC,ORA0HKA22110191,,00:15:94:CE:af:52,10.20.100.136,,
TEYO BARRA INT,OKUIBZKOT012,Comandera,BIXOLON,SRP275IIIC,ORA0HKA22110185,,00:15:94:CE:b0:b9,10.20.100.137,,
TOKIMA CHEF PASE,OKUIBZKDS01,Screen,Oracle,,,,00:a0:a4:2f:3c:11,10.20.100.138,,
TOKIMA WAITER PASE,OKUIBZKDS02,Screen,Oracle,,,,00:a0:a4:2f:39:ab,10.20.100.139,,
TOKIMA SANDWITCH,OKUIBZKDS03,Screen,Oracle,,,,00:a0:a4:2f:3c:12,10.20.100.140,,
TOKIMA SALAD/POKE,OKUIBZKDS04,Screen,Oracle,,,,00:a0:a4:2f:3b:65,10.20.100.141,,
TOKIMA MAINDISH,OKUIBZKDS05,Screen,Oracle,,,,00:a0:a4:2f:38:f7,10.20.100.142,,
TOKIMA PASTRY,OKUIBZKDS06,Screen,Oracle,,,,00:a0:a4:2f:3c:0a,10.20.100.143,,
TEYO SOFTDRINKS,OKUIBZCHK001,Ticketera,,,,,,,,
,OKUIBZCHK002,Ticketera,,,,,,,,
TEYO SPIRITDRINKS,OKUIBZCHK003,Ticketera,,,,,,,,
,OKUIBZCHK004,Ticketera,,,,,,,,
,OKUIBZCHK005,Ticketera,,,,,,,,
,OKUIBZCHK006,Ticketera,,,,,,,,
ROOMSRV BEBIDAS,OKUIBZCHK007,Ticketera,,,,,,,,
,OKUIBZCHK008,Ticketera,,,,,,,,
,OKUIBZCHK009,Ticketera,,,,,,,,
POOL ZONE 700,OKUIBZCHK010,Ticketera,Epson,,X99P008024,Ir a N.S.,38:1a:52:a0:d0:52,10.20.100.145,,
