nombre,ip,mac,marca,planta,lugar
CCIBZ-SWITCH1,10.69.181.201,548028-f53d60,Aruba,1,Plot1
CCIBZ-SWITCH10,10.69.181.210,retirado,Aruba,0,Plot1
CCIBZ-SWITCH11,10.69.181.211,548028-9922e0,Aruba,1,Plot1
CCIBZ-SWITCH12,10.69.181.212,548028-eb5120,Aruba,0,Plot1
CCIBZ-SWITCH13,10.69.181.213,54:80:28:EB:E0:00,Aruba,0,Plot1
CCIBZ-SWITCH2,10.69.181.202,548028-e46940,Aruba,1,Plot1
CCIBZ-SWITCH3,10.69.181.203,548028-e5d900,Aruba,1,Plot1
CCIBZ-SWITCH4,10.69.181.204,548028-e45960,Aruba,2,Plot1
CCIBZ-SWITCH5,10.69.181.205,548028-e49f00,Aruba,3,Plot1
CCIBZ-SWITCH6,10.69.181.206,548028-e59340,Aruba,4,Plot1
CCIBZ-SWITCH7,10.69.181.207,548028-e4b7a0,Aruba,5,Plot1
CCIBZ-SWITCH8,10.69.181.208,548028-e4c840,Aruba,0,Plot1
CCIBZ-SWITCH9,10.69.181.209,548028-e49f20,Aruba,1,Plot1
EMISOR_OKU,10.69.180.10,E4:38:83:A2:68:2E,Ubiquity,6,Plot1
RECEPTOR_OKU,10.69.180.18,E4:38:83:A2:64:F1,Ubiquity,6,Plot2
SW Edificio Norte Planta 1,10.69.180.192,C0:C5:20:B9:6F:49,Ruckus,1,Plot2
SW Edificio Norte Planta 1_2,10.69.180.183,C0:C5:20:B9:52:A9,Ruckus,1,Plot2
SW Fase 1 Core 1,10.69.180.182,C0:C5:20:B9:6E:A9,Ruckus,1,Plot1
SW Fase 1 Core 2,10.69.180.186,C0:C5:20:B9:94:A9,Ruckus,1,Plot1
SW Fase 1 Planta 1,10.69.180.191,C0:C5:20:B9:52:89,Ruckus,1,Plot1
SW Fase 1 Planta 2,10.69.180.190,C0:C5:20:B9:94:69,Ruckus,2,Plot1
SW Fase 1 Planta 3,10.69.180.189,C0:C5:20:B9:94:29,Ruckus,3,Plot1
SW Fase 1 Planta 4,10.69.180.188,C0:C5:20:B9:72:E9,Ruckus,4,Plot1
SW Fase 1 Planta 5,10.69.180.187,C0:C5:20:B9:52:E9,Ruckus,5,Plot1
SW Fase 2 Core 1,10.69.180.198,C0:C5:20:B9:71:89,Ruckus,0,Plot2
SW Fase 2 Core 1,10.69.180.12,E4:DE:40:5E:B0:57,Aruba,0,Plot2
SW Fase 2 Core 2,10.69.180.197,C0:C5:20:B9:5D:89,Ruckus,0,Plot2
SW Fase 2 Core 3,10.69.180.114,C0:C5:20:B9:71:E9,Ruckus,0,Plot2
SW Fase 2 Core 4,10.69.180.184,C0:C5:20:B9:94:E9,Ruckus,0,Plot2
SW Fase 2 Planta 1,10.69.180.196,C0:C5:20:B9:70:E9,Ruckus,1,Plot2
SW Fase 2 Planta 2,10.69.180.195,C0:C5:20:B9:5E:09,Ruckus,2,Plot2
SW Fase 2 Planta 3,10.69.180.194,C0:C5:20:B9:6F:89,Ruckus,3,Plot2
SW Fase 2 Planta 4,10.69.180.193,C0:C5:20:B9:87:49,Ruckus,4,Plot2
SW Juicebar,10.69.180.106,,Ubiquity,0,Plot2